id,author,description,guid,to,likecount,link,pubdate,replycount,title,authorChannelUrl
71,@YesterdayIAteMyDog,I get a very weird feeling when I watch this video. It\'s a love that consumes. Oh I love it and hate it at the same time. Does anyone else feel the same way?,UgyUVHSiwXXDlvIbnKh4AaABAg,,0,https://www.youtube.com/watch?v=e-ORhEE9VVg&lc=UgyUVHSiwXXDlvIbnKh4AaABAg,19-03-2024 01:37,0,I get a very weird feeling when I watch this video. It\'s a love that consumes. Oh I love it and hate it at the same time. Does anyone else feel the same way?,http://www.youtube.com/@YesterdayIAteMyDog
72,@user-ll8ij1lx3q,Taylor Swift is the best singer,UgzrE5O1VHi-ZIoqYLx4AaABAg,,0,https://www.youtube.com/watch?v=e-ORhEE9VVg&lc=UgzrE5O1VHi-ZIoqYLx4AaABAg,19-03-2024 01:21,0,Taylor Swift is the best singer,http://www.youtube.com/@user-ll8ij1lx3q
73,@TuanNguyen-vt7gq,WHO WILL LISTEN THIS MV IN 2025?,UgwjnL8k-nLDfOKC-TR4AaABAg,,1,https://www.youtube.com/watch?v=e-ORhEE9VVg&lc=UgwjnL8k-nLDfOKC-TR4AaABAg,19-03-2024 01:06,0,WHO WILL LISTEN THIS MV IN 2025?,http://www.youtube.com/@TuanNguyen-vt7gq
74,@joramlaizer3941,Majuu music 🎶🎵❤❤,UgzBsHzzbPbjiC-5z2V4AaABAg,,0,https://www.youtube.com/watch?v=e-ORhEE9VVg&lc=UgzBsHzzbPbjiC-5z2V4AaABAg,19-03-2024 00:55,0,Majuu music 🎶🎵❤❤,http://www.youtube.com/@joramlaizer3941
75,@abhyudayasinghrathore518,Here just for Sean\'o pry,UgwpRC4Wcq5ELFpNgdd4AaABAg,,0,https://www.youtube.com/watch?v=e-ORhEE9VVg&lc=UgwpRC4Wcq5ELFpNgdd4AaABAg,19-03-2024 00:28,0,Here just for Sean\'o pry,http://www.youtube.com/@abhyudayasinghrathore518
76,@Sangsangtea14,Blank space baby 🫰🏽,UgxL8V9SMyOUbl0P7b14AaABAg,,0,https://www.youtube.com/watch?v=e-ORhEE9VVg&lc=UgxL8V9SMyOUbl0P7b14AaABAg,19-03-2024 00:23,0,Blank space baby 🫰🏽,http://www.youtube.com/@Sangsangtea14
77,@NoahKilborn500,Who’s watching in 2024?,UgwDiQaRlQ76wZEjE2R4AaABAg,,1,https://www.youtube.com/watch?v=e-ORhEE9VVg&lc=UgwDiQaRlQ76wZEjE2R4AaABAg,18-03-2024 23:44,1,Who’s watching in 2024?,http://www.youtube.com/@NoahKilborn500
78,@Sangsangtea14,Here,UgwDiQaRlQ76wZEjE2R4AaABAg.A1964CdVdDFA19ANyFedu2,@NoahKilborn500,0,https://www.youtube.com/watch?v=e-ORhEE9VVg&lc=UgwDiQaRlQ76wZEjE2R4AaABAg.A1964CdVdDFA19ANyFedu2,19-03-2024 00:22,0,Here,http://www.youtube.com/@Sangsangtea14
79,@sandercastillo8927,Taylor te amo soy tu mayor fan,UgyMznYRXjPDRZGorTp4AaABAg,,0,https://www.youtube.com/watch?v=e-ORhEE9VVg&lc=UgyMznYRXjPDRZGorTp4AaABAg,18-03-2024 22:20,0,Taylor te amo soy tu mayor fan,http://www.youtube.com/@sandercastillo8927
80,@lucaslopes445,Que musicaaaaaaaaaaaaa,UgxKzYLM2-i_tp9FE1V4AaABAg,,0,https://www.youtube.com/watch?v=e-ORhEE9VVg&lc=UgxKzYLM2-i_tp9FE1V4AaABAg,18-03-2024 22:00,0,Que musicaaaaaaaaaaaaa,http://www.youtube.com/@lucaslopes445
81,@TherealGGG17,Who’s watching in March 2024,Ugz13sOjVuELsMGAthl4AaABAg,,1,https://www.youtube.com/watch?v=e-ORhEE9VVg&lc=Ugz13sOjVuELsMGAthl4AaABAg,18-03-2024 21:33,1,Who’s watching in March 2024,http://www.youtube.com/@TherealGGG17
82,@yusheng4637,ME,Ugz13sOjVuELsMGAthl4AaABAg.A18s2aeHKCuA195suhtWri,@TherealGGG17,0,https://www.youtube.com/watch?v=e-ORhEE9VVg&lc=Ugz13sOjVuELsMGAthl4AaABAg.A18s2aeHKCuA195suhtWri,18-03-2024 23:43,0,ME,http://www.youtube.com/@yusheng4637
